DATASET,FECHA,HORA,AIRQ_CO,AIRQ_NO2
DATASET_01_2009_2017_CE,13/10/2009,12,0.38,29
DATASET_01_2009_2017_CE,13/10/2009,13,0.41,30
DATASET_01_2009_2017_CE,13/10/2009,14,0.44,31
DATASET_01_2009_2017_CE,13/10/2009,15,0.45,29
DATASET_01_2009_2017_CE,13/10/2009,16,0.44,35
DATASET_01_2009_2017_CE,13/10/2009,17,0.44,37
DATASET_01_2009_2017_CE,13/10/2009,18,0.46,45
DATASET_01_2009_2017_CE,13/10/2009,19,0.49,47
DATASET_01_2009_2017_CE,13/10/2009,20,0.51,39
DATASET_01_2009_2017_CE,13/10/2009,21,0.53,26
DATASET_01_2009_2017_CE,13/10/2009,22,0.53,22
DATASET_01_2009_2017_CE,13/10/2009,23,0.51,21
DATASET_01_2009_2017_CE,13/10/2009,24,0.49,19
DATASET_01_2009_2017_CE,14/10/2009,1,0.44,10
DATASET_01_2009_2017_CE,14/10/2009,2,0.36,11
DATASET_01_2009_2017_CE,14/10/2009,3,0.29,7
DATASET_01_2009_2017_CE,14/10/2009,4,0.23,9
DATASET_01_2009_2017_CE,14/10/2009,5,0.18,12
DATASET_01_2009_2017_CE,14/10/2009,6,0.15,19
DATASET_01_2009_2017_CE,14/10/2009,7,0.15,33
DATASET_01_2009_2017_CE,14/10/2009,8,0.21,41
DATASET_01_2009_2017_CE,14/10/2009,9,0.41,45
DATASET_01_2009_2017_CE,14/10/2009,10,0.55,46
DATASET_01_2009_2017_CE,14/10/2009,11,0.61, 
DATASET_01_2009_2017_CE,14/10/2009,12,0.7, 
DATASET_01_2009_2017_CE,14/10/2009,13,0.82, 
DATASET_01_2009_2017_CE,14/10/2009,14,0.92,27
DATASET_01_2009_2017_CE,14/10/2009,15,0.94,22
DATASET_01_2009_2017_CE,14/10/2009,16,0.88,20
DATASET_01_2009_2017_CE,14/10/2009,17,0.62,22
DATASET_01_2009_2017_CE,14/10/2009,18,0.48,26
DATASET_01_2009_2017_CE,14/10/2009,19,0.5,28
DATASET_01_2009_2017_CE,14/10/2009,20,0.51,32
DATASET_01_2009_2017_CE,14/10/2009,21,0.51,33
DATASET_01_2009_2017_CE,14/10/2009,22,0.5,34
DATASET_01_2009_2017_CE,14/10/2009,23,0.53,35
DATASET_01_2009_2017_CE,14/10/2009,24,0.53,23
DATASET_01_2009_2017_CE,15/10/2009,1,0.53,18
DATASET_01_2009_2017_CE,15/10/2009,2,0.5,14
DATASET_01_2009_2017_CE,15/10/2009,3,0.45,15
DATASET_01_2009_2017_CE,15/10/2009,4,0.4,10
DATASET_01_2009_2017_CE,15/10/2009,5,0.36,10
DATASET_01_2009_2017_CE,15/10/2009,6,0.31,14
DATASET_01_2009_2017_CE,15/10/2009,7,0.28,21
DATASET_01_2009_2017_CE,15/10/2009,8,0.29,26
DATASET_01_2009_2017_CE,15/10/2009,9,0.3,14
DATASET_01_2009_2017_CE,15/10/2009,10,0.33, 
DATASET_01_2009_2017_CE,15/10/2009,11,0.38, 
DATASET_01_2009_2017_CE,15/10/2009,12,0.4, 
DATASET_01_2009_2017_CE,15/10/2009,13,0.43,20
DATASET_01_2009_2017_CE,15/10/2009,14,0.47,22
DATASET_01_2009_2017_CE,15/10/2009,15,0.5,33
DATASET_01_2009_2017_CE,15/10/2009,16,0.5,35
DATASET_01_2009_2017_CE,15/10/2009,17,0.52,36
DATASET_01_2009_2017_CE,15/10/2009,18,0.53,37
DATASET_01_2009_2017_CE,15/10/2009,19,0.55,39
DATASET_01_2009_2017_CE,15/10/2009,20,0.62,44
DATASET_01_2009_2017_CE,15/10/2009,21,0.69,51
DATASET_01_2009_2017_CE,15/10/2009,22,0.7,40
DATASET_01_2009_2017_CE,15/10/2009,23,0.73,35
DATASET_01_2009_2017_CE,15/10/2009,24,0.73,31
DATASET_01_2009_2017_CE,16/10/2009,1,0.7,22
DATASET_01_2009_2017_CE,16/10/2009,2,0.66,18
DATASET_01_2009_2017_CE,16/10/2009,3,0.61,16
DATASET_01_2009_2017_CE,16/10/2009,4,0.55,15
DATASET_01_2009_2017_CE,16/10/2009,5,0.45,18
DATASET_01_2009_2017_CE,16/10/2009,6,0.39,20
DATASET_01_2009_2017_CE,16/10/2009,7,0.38,29
DATASET_01_2009_2017_CE,16/10/2009,8,0.39,25
DATASET_01_2009_2017_CE,16/10/2009,9,0.43,25
DATASET_01_2009_2017_CE,16/10/2009,10,0.44, 
DATASET_01_2009_2017_CE,16/10/2009,11,0.5,30
DATASET_01_2009_2017_CE,16/10/2009,12,0.57,28
DATASET_01_2009_2017_CE,18/10/2009,13,0.34,15
DATASET_01_2009_2017_CE,18/10/2009,14,0.36,16
DATASET_01_2009_2017_CE,18/10/2009,15,0.36,11
DATASET_01_2009_2017_CE,18/10/2009,16,0.36,12
DATASET_01_2009_2017_CE,18/10/2009,17,0.39,14
DATASET_01_2009_2017_CE,18/10/2009,18,0.4,18
DATASET_01_2009_2017_CE,18/10/2009,19,0.41,27
DATASET_01_2009_2017_CE,18/10/2009,20,0.43,33
DATASET_01_2009_2017_CE,18/10/2009,21,0.43,26
DATASET_01_2009_2017_CE,18/10/2009,22,0.43,25
DATASET_01_2009_2017_CE,18/10/2009,23,0.45,25
DATASET_01_2009_2017_CE,18/10/2009,24,0.48,25
DATASET_01_2009_2017_CE,19/10/2009,1,0.49,23
DATASET_01_2009_2017_CE,19/10/2009,2,0.48,15
DATASET_01_2009_2017_CE,19/10/2009,3,0.45,7
DATASET_01_2009_2017_CE,19/10/2009,4,0.41,6
DATASET_01_2009_2017_CE,19/10/2009,5,0.38,6
DATASET_01_2009_2017_CE,19/10/2009,6,0.34,11
DATASET_01_2009_2017_CE,19/10/2009,7,0.3,17
DATASET_01_2009_2017_CE,19/10/2009,8,0.3,21
DATASET_01_2009_2017_CE,19/10/2009,9,0.31,20
DATASET_01_2009_2017_CE,19/10/2009,10,0.35,27
DATASET_01_2009_2017_CE,19/10/2009,11,0.41,22
DATASET_01_2009_2017_CE,19/10/2009,12,0.48,29
DATASET_01_2009_2017_CE,19/10/2009,13,0.55,32
DATASET_01_2009_2017_CE,19/10/2009,14,0.63,36
DATASET_01_2009_2017_CE,19/10/2009,15,0.66,30
DATASET_01_2009_2017_CE,19/10/2009,16,0.68,31
DATASET_01_2009_2017_CE,19/10/2009,17,0.68,30
DATASET_01_2009_2017_CE,19/10/2009,18,0.68,32
DATASET_01_2009_2017_CE,19/10/2009,19,0.68,35
DATASET_01_2009_2017_CE,19/10/2009,20,0.73,48
DATASET_01_2009_2017_CE,19/10/2009,21,0.74,43
