DATASET,FECHA,HORA,AIRQ_CO,AIRQ_NO2
DATASET_01_2009_2017_PA,08/10/2009,15,1.13, 
DATASET_01_2009_2017_PA,08/10/2009,16,1.13, 
DATASET_01_2009_2017_PA,08/10/2009,17,1.13, 
DATASET_01_2009_2017_PA,08/10/2009,18,1.15, 
DATASET_01_2009_2017_PA,08/10/2009,19,1.18, 
DATASET_01_2009_2017_PA,08/10/2009,20,1.16, 
DATASET_01_2009_2017_PA,08/10/2009,21,1.16, 
DATASET_01_2009_2017_PA,08/10/2009,22,1.06, 
DATASET_01_2009_2017_PA,08/10/2009,23,1.03, 
DATASET_01_2009_2017_PA,08/10/2009,24,1.04, 
DATASET_01_2009_2017_PA,09/10/2009,1,1.04, 
DATASET_01_2009_2017_PA,09/10/2009,2,1, 
DATASET_01_2009_2017_PA,09/10/2009,3,0.96, 
DATASET_01_2009_2017_PA,09/10/2009,4,0.93, 
DATASET_01_2009_2017_PA,09/10/2009,5,0.86, 
DATASET_01_2009_2017_PA,09/10/2009,6,0.78, 
DATASET_01_2009_2017_PA,09/10/2009,7,0.69, 
DATASET_01_2009_2017_PA,09/10/2009,8,0.63, 
DATASET_01_2009_2017_PA,09/10/2009,9,0.6, 
DATASET_01_2009_2017_PA,09/10/2009,10,0.59, 
DATASET_01_2009_2017_PA,09/10/2009,11,0.56, 
DATASET_01_2009_2017_PA,09/10/2009,12,0.55, 
DATASET_01_2009_2017_PA,12/10/2009,13,0.39, 
DATASET_01_2009_2017_PA,12/10/2009,14,0.38, 
DATASET_01_2009_2017_PA,12/10/2009,15,0.39, 
DATASET_01_2009_2017_PA,12/10/2009,16,0.41, 
DATASET_01_2009_2017_PA,12/10/2009,17,0.45, 
DATASET_01_2009_2017_PA,12/10/2009,18,0.5, 
DATASET_01_2009_2017_PA,12/10/2009,19,0.54, 
DATASET_01_2009_2017_PA,12/10/2009,20,0.6, 
DATASET_01_2009_2017_PA,12/10/2009,21,0.68, 
DATASET_01_2009_2017_PA,12/10/2009,22,0.74, 
DATASET_01_2009_2017_PA,12/10/2009,23,0.78, 
DATASET_01_2009_2017_PA,12/10/2009,24,0.8, 
DATASET_01_2009_2017_PA,13/10/2009,1,0.83, 
DATASET_01_2009_2017_PA,13/10/2009,2,0.83, 
DATASET_01_2009_2017_PA,13/10/2009,3,0.84, 
DATASET_01_2009_2017_PA,13/10/2009,4,0.83, 
DATASET_01_2009_2017_PA,13/10/2009,5,0.78, 
DATASET_01_2009_2017_PA,13/10/2009,6,0.71, 
DATASET_01_2009_2017_PA,13/10/2009,7,0.66, 
DATASET_01_2009_2017_PA,13/10/2009,8,0.61, 
DATASET_01_2009_2017_PA,13/10/2009,9,0.56, 
DATASET_01_2009_2017_PA,13/10/2009,10,0.51, 
DATASET_01_2009_2017_PA,13/10/2009,11,0.46, 
DATASET_01_2009_2017_PA,13/10/2009,12,0.43, 
DATASET_01_2009_2017_PA,13/10/2009,13,0.41, 
DATASET_01_2009_2017_PA,13/10/2009,14,0.41, 
DATASET_01_2009_2017_PA,13/10/2009,15,0.44, 
DATASET_01_2009_2017_PA,13/10/2009,16,0.49, 
DATASET_01_2009_2017_PA,13/10/2009,17,0.49, 
DATASET_01_2009_2017_PA,13/10/2009,18,0.5, 
DATASET_01_2009_2017_PA,13/10/2009,19,0.54, 
DATASET_01_2009_2017_PA,13/10/2009,20,0.61, 
DATASET_01_2009_2017_PA,13/10/2009,21,0.7, 
DATASET_01_2009_2017_PA,13/10/2009,22,0.71, 
DATASET_01_2009_2017_PA,13/10/2009,23,0.7, 
DATASET_01_2009_2017_PA,13/10/2009,24,0.65, 
DATASET_01_2009_2017_PA,14/10/2009,1,0.63, 
DATASET_01_2009_2017_PA,14/10/2009,2,0.6, 
DATASET_01_2009_2017_PA,14/10/2009,3,0.55, 
DATASET_01_2009_2017_PA,14/10/2009,4,0.46, 
DATASET_01_2009_2017_PA,14/10/2009,5,0.35, 
DATASET_01_2009_2017_PA,14/10/2009,6,0.33, 
DATASET_01_2009_2017_PA,14/10/2009,7,0.3, 
DATASET_01_2009_2017_PA,14/10/2009,8,0.31, 
DATASET_01_2009_2017_PA,14/10/2009,9,0.38, 
