DATASET,FECHA,HORA,AIRQ_CO,AIRQ_NO2
DATASET_01_2009_2017_CO,16/10/2009,5, ,10
DATASET_01_2009_2017_CO,16/10/2009,6, ,12
DATASET_01_2009_2017_CO,16/10/2009,7, ,21
DATASET_01_2009_2017_CO,16/10/2009,8, ,21
DATASET_01_2009_2017_CO,16/10/2009,9, ,19
DATASET_01_2009_2017_CO,16/10/2009,10, ,18
DATASET_01_2009_2017_CO,16/10/2009,11, ,19
DATASET_01_2009_2017_CO,16/10/2009,12, ,16
DATASET_01_2009_2017_CO,18/10/2009,13, ,8
DATASET_01_2009_2017_CO,18/10/2009,14, ,10
DATASET_01_2009_2017_CO,18/10/2009,15, ,13
DATASET_01_2009_2017_CO,18/10/2009,16, ,15
DATASET_01_2009_2017_CO,18/10/2009,17, ,16
DATASET_01_2009_2017_CO,18/10/2009,18, ,17
DATASET_01_2009_2017_CO,18/10/2009,19, ,16
DATASET_01_2009_2017_CO,18/10/2009,20, ,20
DATASET_01_2009_2017_CO,18/10/2009,21, ,25
DATASET_01_2009_2017_CO,18/10/2009,22, ,25
DATASET_01_2009_2017_CO,18/10/2009,23, ,19
DATASET_01_2009_2017_CO,18/10/2009,24, ,20
DATASET_01_2009_2017_CO,19/10/2009,1, ,19
DATASET_01_2009_2017_CO,19/10/2009,2, ,12
DATASET_01_2009_2017_CO,19/10/2009,3, ,10
DATASET_01_2009_2017_CO,19/10/2009,4, ,6
DATASET_01_2009_2017_CO,19/10/2009,5, ,6
DATASET_01_2009_2017_CO,19/10/2009,6, ,11
DATASET_01_2009_2017_CO,19/10/2009,7, ,15
DATASET_01_2009_2017_CO,19/10/2009,8, ,16
DATASET_01_2009_2017_CO,19/10/2009,9, ,17
DATASET_01_2009_2017_CO,19/10/2009,10, ,17
DATASET_01_2009_2017_CO,19/10/2009,11, ,16
DATASET_01_2009_2017_CO,19/10/2009,12, ,29
DATASET_01_2009_2017_CO,19/10/2009,13, ,27
DATASET_01_2009_2017_CO,19/10/2009,14, ,27
DATASET_01_2009_2017_CO,19/10/2009,15, ,39
DATASET_01_2009_2017_CO,19/10/2009,16, ,41
DATASET_01_2009_2017_CO,19/10/2009,17, ,45
DATASET_01_2009_2017_CO,19/10/2009,18, ,43
DATASET_01_2009_2017_CO,19/10/2009,19, ,44
DATASET_01_2009_2017_CO,19/10/2009,20, ,47
DATASET_01_2009_2017_CO,19/10/2009,21, ,51
DATASET_01_2009_2017_CO,19/10/2009,22, ,49
DATASET_01_2009_2017_CO,19/10/2009,23, ,41
DATASET_01_2009_2017_CO,19/10/2009,24, ,39
DATASET_01_2009_2017_CO,20/10/2009,1, ,40
DATASET_01_2009_2017_CO,20/10/2009,2, ,39
DATASET_01_2009_2017_CO,20/10/2009,3, ,37
DATASET_01_2009_2017_CO,20/10/2009,4, ,40
DATASET_01_2009_2017_CO,20/10/2009,5, ,40
DATASET_01_2009_2017_CO,20/10/2009,6, ,57
DATASET_01_2009_2017_CO,20/10/2009,7, ,51
DATASET_01_2009_2017_CO,20/10/2009,8, ,50
DATASET_01_2009_2017_CO,20/10/2009,9, ,51
DATASET_01_2009_2017_CO,20/10/2009,10, ,60
DATASET_01_2009_2017_CO,20/10/2009,11, ,60
DATASET_01_2009_2017_CO,20/10/2009,12, ,64
DATASET_01_2009_2017_CO,20/10/2009,13, ,48
DATASET_01_2009_2017_CO,20/10/2009,14, ,32
DATASET_01_2009_2017_CO,20/10/2009,15, ,46
DATASET_01_2009_2017_CO,20/10/2009,16, ,60
DATASET_01_2009_2017_CO,20/10/2009,17, ,63
DATASET_01_2009_2017_CO,20/10/2009,18, ,63
DATASET_01_2009_2017_CO,20/10/2009,19, ,49
DATASET_01_2009_2017_CO,20/10/2009,20, ,45
DATASET_01_2009_2017_CO,20/10/2009,21, ,42
DATASET_01_2009_2017_CO,20/10/2009,22, ,40
DATASET_01_2009_2017_CO,20/10/2009,23, ,36
DATASET_01_2009_2017_CO,20/10/2009,24, ,31
DATASET_01_2009_2017_CO,21/10/2009,1, ,26
DATASET_01_2009_2017_CO,21/10/2009,2, ,26
DATASET_01_2009_2017_CO,21/10/2009,3, ,24
DATASET_01_2009_2017_CO,21/10/2009,4, ,22
DATASET_01_2009_2017_CO,21/10/2009,5, ,24
DATASET_01_2009_2017_CO,21/10/2009,6, ,23
DATASET_01_2009_2017_CO,21/10/2009,7, ,29
DATASET_01_2009_2017_CO,21/10/2009,8, ,32
DATASET_01_2009_2017_CO,21/10/2009,9, ,34
DATASET_01_2009_2017_CO,21/10/2009,10, ,35
DATASET_01_2009_2017_CO,21/10/2009,11, ,35
DATASET_01_2009_2017_CO,21/10/2009,12, ,36
DATASET_01_2009_2017_CO,21/10/2009,13, ,35
DATASET_01_2009_2017_CO,21/10/2009,14, ,35
DATASET_01_2009_2017_CO,21/10/2009,15, ,33
DATASET_01_2009_2017_CO,21/10/2009,16, ,31
DATASET_01_2009_2017_CO,21/10/2009,17, ,35
DATASET_01_2009_2017_CO,21/10/2009,18, ,36
DATASET_01_2009_2017_CO,21/10/2009,19, ,36
DATASET_01_2009_2017_CO,21/10/2009,20, ,37
DATASET_01_2009_2017_CO,21/10/2009,21, ,41
DATASET_01_2009_2017_CO,21/10/2009,22, ,44
DATASET_01_2009_2017_CO,21/10/2009,23, ,50
DATASET_01_2009_2017_CO,21/10/2009,24, ,56
DATASET_01_2009_2017_CO,22/10/2009,1, ,48
DATASET_01_2009_2017_CO,22/10/2009,2, ,31
DATASET_01_2009_2017_CO,22/10/2009,3, ,18
DATASET_01_2009_2017_CO,22/10/2009,4, ,17
DATASET_01_2009_2017_CO,22/10/2009,5, ,17
DATASET_01_2009_2017_CO,22/10/2009,6, ,26
DATASET_01_2009_2017_CO,22/10/2009,7, ,33
DATASET_01_2009_2017_CO,22/10/2009,8, , 
DATASET_01_2009_2017_CO,22/10/2009,9, , 
DATASET_01_2009_2017_CO,22/10/2009,10, , 
DATASET_01_2009_2017_CO,22/10/2009,11, , 
DATASET_01_2009_2017_CO,22/10/2009,12, , 
DATASET_01_2009_2017_CO,22/10/2009,13, , 
DATASET_01_2009_2017_CO,22/10/2009,14, , 
DATASET_01_2009_2017_CO,22/10/2009,15, , 
DATASET_01_2009_2017_CO,22/10/2009,16, ,38
DATASET_01_2009_2017_CO,22/10/2009,17, ,39
DATASET_01_2009_2017_CO,22/10/2009,18, , 
DATASET_01_2009_2017_CO,22/10/2009,19, ,46
DATASET_01_2009_2017_CO,22/10/2009,20, ,46
DATASET_01_2009_2017_CO,22/10/2009,21, ,42
DATASET_01_2009_2017_CO,22/10/2009,22, ,37
