FECHA,AIRQ_CO2,DATASET
1995,40.4643,DATASET_05_1850_2012_CHI
1996,46.9126,DATASET_05_1850_2012_CHI
1997,53.8339,DATASET_05_1850_2012_CHI
1998,55.3408,DATASET_05_1850_2012_CHI
1999,58.3158,DATASET_05_1850_2012_CHI
2000,53.9061,DATASET_05_1850_2012_CHI
2001,52.0557,DATASET_05_1850_2012_CHI
2002,53.0381,DATASET_05_1850_2012_CHI
2003,54.9888,DATASET_05_1850_2012_CHI
2004,59.7967,DATASET_05_1850_2012_CHI
2005,60.3027,DATASET_05_1850_2012_CHI
2006,61.9985,DATASET_05_1850_2012_CHI
2007,67.9414,DATASET_05_1850_2012_CHI
2008,70.4203,DATASET_05_1850_2012_CHI
2009,67.2864,DATASET_05_1850_2012_CHI
2010,71.747,DATASET_05_1850_2012_CHI
2011,78.2721,DATASET_05_1850_2012_CHI
2012,80.0006,DATASET_05_1850_2012_CHI
